"Nr okręgu";"Nr listy";"Pozycja na liście";"Nazwisko i imiona";"Nazwa komitetu";"Płeć";"Zawód";"Miejsce zamieszkania";"TERYT m. z.";"Gmina m. z.";"Przynależność do partii";"Poparcie";"Liczba głosów";"Procent głosów oddanych na listę";"Procent głosów oddanych w okręgu";"Czy uzyskał mandat"
1;1;1;"Wioleta Barbara TOMCZAK";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"Kobieta";"nauczycielka akademicka";"Gdynia";"226201";"m. Gdynia";"członek partii politycznej: Polska 2050 Szymona Hołowni";"";17619;"43,89";"2,37";"Nie"
1;1;2;"Maciej Antoni URBANEK";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"Mężczyzna";"politolog";"Skowarcz";"220406";"gm. Pszczółki";"nie należy do partii politycznej";"";2786;"6,94";"0,37";"Nie"
1;1;3;"Łukasz KOPEĆ";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"Mężczyzna";"przedsiębiorca";"Gdańsk";"226101";"m. Gdańsk";"członek partii politycznej: Polska 2050 Szymona Hołowni";"";4147;"10,33";"0,56";"Nie"
1;1;4;"Mirosław Józef MASZLUCH";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"Mężczyzna";"lekarz stomatolog";"Bytów";"220102";"gm. Bytów";"nie należy do partii politycznej";"";1010;"2,52";"0,14";"Nie"
1;1;5;"Szymon Grzegorz REDLIN";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"Mężczyzna";"przedsiębiorca";"Jastrzębia Góra";"221104";"gm. Władysławowo";"członek partii politycznej: Polska 2050 Szymona Hołowni";"";1233;"3,07";"0,17";"Nie"
1;1;6;"Małgorzata RYBAKOWSKA";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"Kobieta";"przedsiębiorca";"Gdańsk";"226101";"m. Gdańsk";"członek partii politycznej: PSL";"";2083;"5,19";"0,28";"Nie"
1;1;7;"Agnieszka Monika BARANOWSKA";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"Kobieta";"trener mentalny";"Koleczkowo";"221509";"gm. Szemud";"członek partii politycznej: Polska 2050 Szymona Hołowni";"";2095;"5,22";"0,28";"Nie"
1;1;8;"Maria Jolanta DASZKIEWICZ";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"Kobieta";"ekolog";"Starogard Gdański";"221303";"m. Starogard Gdański";"członek partii politycznej: PSL";"";1284;"3,20";"0,17";"Nie"
1;1;9;"Roman MAZUR";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"Mężczyzna";"manager";"Słupsk";"226301";"m. Słupsk";"nie należy do partii politycznej";"";984;"2,45";"0,13";"Nie"
1;1;10;"Artur Erwin DZIAMBOR";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"Mężczyzna";"wykładowca akademicki";"Gdynia";"226201";"m. Gdynia";"członek partii politycznej: Wolnościowcy";"";6898;"17,19";"0,93";"Nie"
1;2;1;"Przemysław Janusz WIPLER";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Mężczyzna";"prawnik";"Józefów";"141701";"m. Józefów";"członek partii politycznej: Nowa Nadzieja";"";35741;"51,31";"4,81";"Nie"
1;2;2;"Lidia Maria PEREK";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Kobieta";"przedsiębiorca";"Gdynia";"226201";"m. Gdynia";"członek partii politycznej: Konfederacja Korony Polskiej";"";10172;"14,60";"1,37";"Nie"
1;2;3;"Krzysztof SZYMAŃSKI";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Mężczyzna";"przedsiębiorca";"Suchy Dwór";"221105";"gm. Kosakowo";"członek partii politycznej: Ruch Narodowy";"";7872;"11,30";"1,06";"Nie"
1;2;4;"Piotr Grzegorz KLEIN";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Mężczyzna";"przedsiębiorca";"Gdańsk";"226101";"m. Gdańsk";"członek partii politycznej: Polska Jest Jedna";"";4548;"6,53";"0,61";"Nie"
1;2;5;"Agnieszka Anna GRZEGORZEWSKA";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Kobieta";"doradca ds. nieruchomości";"Malbork";"220901";"m. Malbork";"członek partii politycznej: Nowa Nadzieja";"";2604;"3,74";"0,35";"Nie"
1;2;6;"Dominik MAZUR";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Mężczyzna";"menedżer";"Pruszcz Gdański";"220401";"m. Pruszcz Gdański";"członek partii politycznej: Ruch Narodowy";"";1876;"2,69";"0,25";"Nie"
1;2;7;"Przemysław Tadeusz OLCZYK";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Mężczyzna";"przedsiębiorca";"Borowiec";"220508";"gm. Żukowo";"członek partii politycznej: Ruch Narodowy";"";770;"1,11";"0,10";"Nie"
1;2;8;"Łukasz Marek SAWICKI";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Mężczyzna";"rolnik";"Baldram";"220703";"gm. Kwidzyn";"członek partii politycznej: Nowa Nadzieja";"";1924;"2,76";"0,26";"Nie"
1;2;9;"Hanna Agnieszka FLISIKOWSKA";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Kobieta";"drukarz";"Borcz";"220505";"gm. Somonino";"członek partii politycznej: Konfederacja Korony Polskiej";"";2335;"3,35";"0,31";"Nie"
1;2;10;"Natalia Grażyna KOŁC";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Kobieta";"pedagog";"Gdańsk";"226101";"m. Gdańsk";"członek partii politycznej: Nowa Nadzieja";"";1812;"2,60";"0,24";"Nie"
1;3;1;"Natalia Maria KRUCZEK";"KOMITET WYBORCZY WYBORCÓW BEZPARTYJNI SAMORZĄDOWCY-NORMALNA POLSKA W NORMALNEJ EUROPIE";"Kobieta";"ekonomistka";"Gdańsk";"226101";"m. Gdańsk";"nie należy do partii politycznej";"";3181;"37,92";"0,43";"Nie"
1;3;2;"Marcin Piotr KRZYWKOWSKI";"KOMITET WYBORCZY WYBORCÓW BEZPARTYJNI SAMORZĄDOWCY-NORMALNA POLSKA W NORMALNEJ EUROPIE";"Mężczyzna";"nauczyciel akademicki";"Tczew";"221401";"m. Tczew";"nie należy do partii politycznej";"";839;"10,00";"0,11";"Nie"
1;3;3;"Grzegorz GOŁOFIT";"KOMITET WYBORCZY WYBORCÓW BEZPARTYJNI SAMORZĄDOWCY-NORMALNA POLSKA W NORMALNEJ EUROPIE";"Mężczyzna";"ekonomista";"Gdańsk";"226101";"m. Gdańsk";"nie należy do partii politycznej";"";591;"7,04";"0,08";"Nie"
1;3;4;"Monika Maria GÓRKA";"KOMITET WYBORCZY WYBORCÓW BEZPARTYJNI SAMORZĄDOWCY-NORMALNA POLSKA W NORMALNEJ EUROPIE";"Kobieta";"kosmetolog";"Starogard Gdański";"221303";"m. Starogard Gdański";"nie należy do partii politycznej";"";786;"9,37";"0,11";"Nie"
